time,CO2
1982.166667,342.675
1982.25,343.475
1982.333333,343.96
1982.416667,343.3
1982.5,341.92
1982.583333,339.625
1982.666667,338.025
1982.75,337.9
1982.833333,339.275
1982.916667,340.425
1983,341.34
1983.083333,342.5
1983.166667,343.15
1983.25,344.9
1983.333333,345.65
1983.416667,345.275
1983.5,343.82
1983.583333,342.15
1983.666667,339.875
1983.75,340.02
1983.833333,341.15
1983.916667,342.98
1984,343.675
1984.083333,344.425
1984.166667,345.175
1984.25,347.4
1984.333333,347.35
1984.416667,346.66
1984.5,345.2
1984.583333,343.3
1984.666667,341.12
1984.75,341.475
1984.833333,342.85
1984.916667,344.14
1985,344.925
1985.083333,345.875
1985.166667,347.44
1985.25,348.325
1985.333333,348.825
1985.416667,348.18
1985.5,346.45
1985.583333,344.3
1985.666667,343
1985.75,342.8
1985.833333,344.22
1985.916667,345.575
1986,346.25
1986.083333,346.825
1986.166667,347.74
1986.25,349.525
1986.333333,350.08
1986.416667,349.375
1986.5,347.825
1986.583333,345.82
1986.666667,344.8
1986.75,344.1
1986.833333,345.62
1986.916667,346.875
1987,348
1987.083333,348.5
1987.166667,349.475
1987.25,350.85
1987.333333,351.74
1987.416667,351.15
1987.5,349.45
1987.583333,348.08
1987.666667,346.4
1987.75,346.44
1987.833333,347.925
1987.916667,348.925
1988,350.4
1988.083333,351.775
1988.166667,352.125
1988.25,353.58
1988.333333,354.175
1988.416667,353.75
1988.5,352.22
1988.583333,350.3
1988.666667,348.75
1988.75,348.96
1988.833333,350
1988.916667,351.36
1989,352.775
1989.083333,353
1989.166667,353.6
1989.25,355.36
1989.333333,355.6
1989.416667,355.125
1989.5,353.86
1989.583333,351.575
1989.666667,349.86
1989.75,350.05
1989.833333,351.2
1989.916667,352.48
1990,353.65
1990.083333,354.65
1990.166667,355.48
1990.25,356.175
1990.333333,357.075
1990.416667,356.08
1990.5,354.675
1990.583333,352.9
1990.666667,350.94
1990.75,351.225
1990.833333,352.7
1990.916667,354.14
1991,354.675
1991.083333,355.65
1991.166667,357.2
1991.25,358.6
1991.333333,359.25
1991.416667,358.18
1991.5,356.05
1991.583333,353.86
1991.666667,352.125
1991.75,352.25
1991.833333,353.74
1991.916667,355.025
1992,355.9
1992.083333,356.68
1992.166667,357.9
1992.25,359.075
1992.333333,359.54
1992.416667,359.125
1992.5,357
1992.583333,354.86
1992.666667,353.025
1992.75,353.42
1992.833333,354.2
1992.916667,355.35
1993,356.68
1993.083333,357.175
1993.166667,358.425
1993.25,359.325
1993.333333,360.18
1993.416667,359.5
1993.5,357.42
1993.583333,355.325
1993.666667,353.775
1993.75,354.06
1993.833333,355.35
1993.916667,356.775
1994,358.32
1994.083333,358.9
1994.166667,359.925
1994.25,361.22
1994.333333,361.65
1994.416667,360.9
1994.5,359.46
1994.583333,357.375
1994.666667,355.925
1994.75,356.02
1994.833333,357.575
1994.916667,359.06
1995,359.975
1995.083333,360.925
1995.166667,361.575
1995.25,363.36
1995.333333,363.7
1995.416667,363.25
1995.5,361.8
1995.583333,359.375
1995.666667,358
1995.75,357.85
1995.833333,359.475
1995.916667,360.7
1996,362.025
1996.083333,363.175
1996.166667,364.06
1996.25,364.7
1996.333333,365.325
1996.416667,364.88
1996.5,363.475
1996.583333,361.32
1996.666667,359.4
1996.75,359.625
1996.833333,360.74
1996.916667,362.375
1997,363.125
1997.083333,363.875
1997.166667,364.56
1997.25,366.325
1997.333333,366.68
1997.416667,365.475
1997.5,364.375
1997.583333,362.46
1997.666667,360.15
1997.75,360.75
1997.833333,362.38
1997.916667,364.25
1998,365.34
1998.083333,366.2
1998.166667,367.375
1998.25,368.525
1998.333333,369.14
1998.416667,368.75
1998.5,367.6
1998.583333,365.72
1998.666667,363.925
1998.75,364.32
1998.833333,365.55
1998.916667,366.925
1999,368.12
1999.083333,368.85
1999.166667,369.6
1999.25,370.975
1999.333333,370.84
1999.416667,370.25
1999.5,369
1999.583333,366.7
1999.666667,364.675
1999.75,365.14
1999.833333,366.65
1999.916667,367.9
2000,369.02
2000.083333,369.375
2000.166667,370.4
2000.25,371.54
2000.333333,371.65
2000.416667,371.625
2000.5,369.94
2000.583333,367.95
2000.666667,366.54
2000.75,366.725
2000.833333,368.125
2000.916667,369.44
2001,370.175
2001.083333,371.325
2001.166667,372.06
2001.25,372.775
2001.333333,373.8
2001.416667,373.06
2001.5,371.3
2001.583333,369.425
2001.666667,367.88
2001.75,368.05
2001.833333,369.375
2001.916667,371.02
